Date,AAPL,AMZN,FB,GOOG,NFLX
2014-12-31,25.18104362487793,310.3500061035156,78.0199966430664,524.958740234375,48.801429748535156
2015-01-02,24.94150161743164,308.5199890136719,78.44999694824219,523.3731079101562,49.84857177734375
2015-01-05,24.23885726928711,302.19000244140625,77.19000244140625,512.4630126953125,47.31142807006836
2015-01-06,24.241146087646484,295.2900085449219,76.1500015258789,500.58563232421875,46.501426696777344
2015-01-07,24.5810604095459,298.4200134277344,76.1500015258789,499.7279968261719,46.74285888671875
2015-01-08,25.525522232055664,300.4599914550781,78.18000030517578,501.3036804199219,47.779998779296875
2015-01-09,25.55289077758789,296.92999267578125,77.73999786376953,494.8114929199219,47.04142761230469
2015-01-12,24.92325210571289,291.4100036621094,76.72000122070312,491.201416015625,45.547142028808594
2015-01-13,25.144542694091797,294.739990234375,76.44999694824219,494.82147216796875,46.255714416503906
2015-01-14,25.048730850219727,293.2699890136719,76.27999877929688,499.4986267089844,46.31999969482422
2015-01-15,24.3688907623291,286.95001220703125,74.05000305175781,500.4161071777344,46.251426696777344
2015-01-16,24.179548263549805,290.739990234375,75.18000030517578,506.6888732910156,48.191429138183594
2015-01-20,24.802352905273438,289.44000244140625,76.23999786376953,505.5121154785156,49.82857131958008
2015-01-21,24.9916934967041,297.25,76.73999786376953,516.6216430664062,58.468570709228516
2015-01-22,25.641870498657227,310.32000732421875,77.6500015258789,532.9268188476562,61.20571517944336
2015-01-23,25.774179458618164,312.3900146484375,77.83000183105469,538.4716186523438,62.494285583496094
2015-01-26,25.801555633544922,309.6600036621094,77.5,533.74462890625,63.79428482055664
2015-01-27,24.898162841796875,306.75,75.77999877929688,517.2100219726562,64.88143157958984
2015-01-28,26.305727005004883,303.9100036621094,76.23999786376953,508.6036376953125,63.20857238769531
2015-01-29,27.12471580505371,311.7799987792969,78.0,509.2618103027344,63.400001525878906
2015-01-30,26.72776985168457,354.5299987792969,75.91000366210938,533.0565185546875,63.11428451538086
2015-02-02,27.063119888305664,364.4700012207031,74.98999786376953,527.0330200195312,63.0099983215332
2015-02-03,27.06768226623535,363.54998779296875,75.4000015258789,527.7909545898438,65.27428436279297
2015-02-04,27.275283813476562,364.75,75.62999725341797,521.3286743164062,64.10142517089844
