"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 15, 2020","1,845.89","1,832.40","1,847.62","1,826.86","2.09B","1.14%"
"Sep 14, 2020","1,825.00","1,846.24","1,849.45","1,821.94","1.87B","-0.68%"
"Sep 11, 2020","1,837.44","1,852.30","1,862.33","1,835.72","2.68B","-0.94%"
"Sep 10, 2020","1,854.88","1,861.16","1,867.18","1,847.02","2.33B","-0.21%"
"Sep 09, 2020","1,858.80","1,836.90","1,862.52","1,832.23","2.18B","-0.13%"
"Sep 08, 2020","1,861.17","1,879.07","1,879.48","1,859.04","1.85B","-1.44%"
"Sep 03, 2020","1,888.31","1,900.53","1,904.48","1,882.24","1.67B","-0.34%"
"Sep 02, 2020","1,894.66","1,877.91","1,895.66","1,871.91","1.69B","0.76%"
"Sep 01, 2020","1,880.34","1,892.41","1,897.72","1,872.72","2.01B","-0.43%"
"Aug 31, 2020","1,888.52","1,919.92","1,927.85","1,886.20","2.41B","-1.16%"
"Aug 28, 2020","1,910.78","1,932.30","1,936.91","1,905.07","2.27B","-0.39%"
"Aug 27, 2020","1,918.32","1,911.66","1,927.06","1,908.53","2.30B","0.32%"
"Aug 26, 2020","1,912.29","1,906.69","1,914.90","1,894.18","2.10B","0.43%"
"Aug 25, 2020","1,904.09","1,917.78","1,922.20","1,902.85","2.43B","0.03%"
"Aug 24, 2020","1,903.44","1,884.85","1,905.61","1,873.97","2.37B","1.53%"
"Aug 21, 2020","1,874.74","1,887.73","1,891.28","1,870.17","1.65B","0.08%"
"Aug 20, 2020","1,873.29","1,874.75","1,887.43","1,868.04","2.12B","-1.10%"
"Aug 19, 2020","1,894.14","1,933.46","1,935.39","1,883.82","3.22B","-1.92%"
"Aug 18, 2020","1,931.22","1,916.49","1,931.46","1,916.00","2.23B","0.77%"
"Aug 17, 2020","1,916.38","1,928.38","1,932.16","1,907.11","2.18B","-0.32%"
"Aug 14, 2020","1,922.55","1,950.88","1,954.86","1,918.64","2.33B","-1.57%"
"Aug 13, 2020","1,953.18","1,954.36","1,963.28","1,946.84","3.45B","1.03%"
"Aug 11, 2020","1,933.27","1,928.28","1,944.41","1,924.58","3.14B","1.29%"
"Aug 10, 2020","1,908.57","1,917.17","1,922.27","1,908.37","1.35B","-0.23%"
"Aug 07, 2020","1,912.99","1,924.55","1,926.96","1,907.60","1.84B","-0.77%"
"Aug 06, 2020","1,927.78","1,928.96","1,948.29","1,927.78","2.46B","-0.24%"
"Aug 05, 2020","1,932.47","1,928.93","1,939.69","1,913.80","2.50B","0.54%"
"Aug 04, 2020","1,922.08","1,920.40","1,933.01","1,916.47","2.40B","0.96%"
"Aug 03, 2020","1,903.83","1,914.29","1,915.66","1,891.23","2.22B","-0.95%"
"Jul 31, 2020","1,922.18","1,897.63","1,922.39","1,879.19","2.84B","1.17%"
"Jul 30, 2020","1,899.86","1,947.55","1,951.03","1,895.13","3.79B","-1.99%"
"Jul 29, 2020","1,938.38","1,953.62","1,960.26","1,936.32","2.21B","-0.46%"
"Jul 24, 2020","1,947.28","1,959.04","1,962.40","1,940.01","2.22B","-1.60%"
"Jul 23, 2020","1,978.87","1,975.32","1,986.14","1,960.76","2.57B","0.16%"
"Jul 22, 2020","1,975.74","2,015.03","2,017.40","1,975.35","2.78B","-1.67%"
"Jul 21, 2020","2,009.29","1,994.14","2,013.85","1,992.19","2.86B","1.53%"
"Jul 20, 2020","1,979.01","1,979.63","1,992.55","1,968.94","2.15B","-0.16%"
"Jul 17, 2020","1,982.12","1,971.05","1,985.27","1,964.93","2.16B","0.98%"
"Jul 16, 2020","1,962.90","1,974.46","1,979.76","1,955.25","1.88B","-0.63%"
"Jul 15, 2020","1,975.39","1,970.38","1,981.20","1,959.65","2.62B","1.19%"
"Jul 14, 2020","1,952.19","1,936.66","1,955.21","1,926.21","2.80B","-0.07%"
"Jul 13, 2020","1,953.50","1,986.13","1,988.76","1,948.65","3.44B","-0.71%"
"Jul 10, 2020","1,967.56","1,981.91","1,990.84","1,960.35","2.75B","-1.43%"
"Jul 09, 2020","1,996.13","2,000.28","2,006.54","1,983.91","3.18B","0.19%"
"Jul 08, 2020","1,992.36","2,009.07","2,021.72","1,990.36","2.94B","-0.99%"
