"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","334.89","333.20","338.28","332.90","104.08M","0.76%"
"Sep 29, 2020","332.37","333.87","334.73","331.63","51.53M","-0.54%"
"Sep 28, 2020","334.19","333.38","334.89","332.17","64.58M","1.66%"
"Sep 27, 2020","328.73","328.73","328.73","328.73","-","0.00%"
"Sep 26, 2020","328.73","328.73","328.73","328.73","-","0.00%"
"Sep 25, 2020","328.73","322.63","329.56","321.68","71.07M","1.62%"
"Sep 24, 2020","323.50","321.08","326.75","319.82","76.68M","0.27%"
"Sep 23, 2020","322.64","330.86","331.16","322.10","93.11M","-2.32%"
"Sep 22, 2020","330.30","328.45","330.89","325.90","63.61M","1.02%"
"Sep 21, 2020","326.97","325.61","326.98","321.73","99.45M","-1.11%"
"Sep 18, 2020","330.65","335.37","335.49","327.97","105.88M","-1.55%"
"Sep 17, 2020","335.84","333.55","337.66","333.01","91.52M","-0.88%"
"Sep 16, 2020","338.82","341.66","343.03","338.59","82.21M","-0.40%"
"Sep 15, 2020","340.17","341.26","342.00","339.02","52.92M","0.51%"
"Sep 14, 2020","338.46","337.55","340.36","336.95","65.61M","1.32%"
"Sep 13, 2020","334.06","334.06","334.06","334.06","-","0.00%"
"Sep 11, 2020","334.06","335.82","336.97","331.00","84.68M","0.05%"
"Sep 10, 2020","333.89","341.74","342.51","332.92","90.57M","-1.74%"
"Sep 09, 2020","339.79","337.62","342.45","336.66","91.46M","1.97%"
"Sep 08, 2020","333.21","336.12","337.98","332.88","114.47M","-2.73%"
"Sep 04, 2020","342.57","346.13","347.83","334.87","139.16M","-0.82%"
"Sep 03, 2020","345.39","355.87","356.35","342.62","148.01M","-3.44%"
"Sep 02, 2020","357.70","354.51","358.66","353.45","69.54M","1.45%"
"Sep 01, 2020","352.60","350.22","352.64","349.26","55.00M","0.94%"
"Aug 31, 2020","349.31","350.29","351.26","349.11","66.10M","-0.36%"
"Aug 30, 2020","350.58","350.58","350.58","350.58","-","0.00%"
"Aug 28, 2020","350.58","349.44","350.72","348.15","48.59M","0.65%"
"Aug 27, 2020","348.33","348.36","349.89","346.54","58.03M","0.22%"
"Aug 26, 2020","347.57","344.73","347.85","344.17","50.79M","1.00%"
"Aug 25, 2020","344.12","343.53","344.14","342.27","38.46M","0.35%"
"Aug 24, 2020","342.92","342.12","342.96","341.10","48.59M","1.01%"
"Aug 23, 2020","339.48","339.48","339.48","339.48","-","0.00%"
"Aug 22, 2020","339.48","339.48","339.48","339.48","-","0.00%"
"Aug 21, 2020","339.48","337.99","339.67","337.57","55.11M","0.35%"
"Aug 20, 2020","338.28","335.38","338.77","335.25","42.21M","0.31%"
"Aug 19, 2020","337.23","339.07","339.60","336.64","68.05M","-0.42%"
"Aug 18, 2020","338.64","338.36","339.09","336.64","38.73M","0.22%"
"Aug 17, 2020","337.91","337.92","338.34","337.50","35.48M","0.32%"
"Aug 14, 2020","336.84","336.41","337.42","335.62","47.26M","0.00%"
"Aug 13, 2020","336.83","337.02","338.25","335.85","41.82M","-0.18%"
"Aug 12, 2020","337.44","335.56","338.28","335.56","53.83M","1.39%"
"Aug 11, 2020","332.80","336.95","337.52","332.05","69.60M","-0.83%"
