time,open,high,low,close,Basis,Upper,Lower,VWAP,Volume,Volume MA,TRIX,ATR
2017-10-06T00:00:00Z,294.81,310.8,293.78,310.8,289.433,319.4172199,259.4487801,305.1266667,3541.02359,4320.010507,NaN,21.00339645
2017-10-07T00:00:00Z,309.9,318.5,303.6,311.01,292.106,319.6792112,264.5327888,311.0366667,2165.79076,4197.573377,NaN,20.42212059
2017-10-08T00:00:00Z,311.08,317.07,309,311.07,292.931,321.7107129,264.1512871,312.38,2960.93198,4139.32145,NaN,19.24572816
2017-10-09T00:00:00Z,311.13,312.13,286.65,297.19,293.5905,322.1248193,265.0561807,298.6566667,4885.37863,4290.094956,NaN,19.83946833
2017-10-10T00:00:00Z,297.35,308.56,293,298.64,294.4225,322.5235682,266.3214318,300.0666667,6749.27468,4574.530323,NaN,19.43189992
2017-10-11T00:00:00Z,298.64,305.5,298.02,304.01,296.773,319.2644642,274.2815358,302.51,3724.6863,4665.136846,NaN,18.29362374
2017-10-12T00:00:00Z,304.01,310,302.71,303.99,298.7725,315.6685669,281.8764331,305.5666667,7827.75596,4983.299019,NaN,17.24565957
2017-10-13T00:00:00Z,303.99,353.96,297,337.96,301.374,324.4510868,278.2969132,329.64,17925.36585,5738.350526,NaN,21.02797771
2017-10-14T00:00:00Z,337.96,349.8,335,342,304.374,331.7888853,276.9591147,342.2666667,7731.96469,5846.171549,1.49709636,20.43483697
2017-10-15T00:00:00Z,342,348,316.17,337.96,306.551,337.1844144,275.9175856,334.0433333,10011.34708,6053.214886,4.733002056,21.5200906
2017-10-16T00:00:00Z,337.96,354,332.78,335.19,308.9155,340.7040064,277.1269936,340.6566667,8663.47097,6258.042032,8.056516462,21.49151054
2017-10-17T00:00:00Z,335.18,336.58,312.65,315.19,309.188,341.0933291,277.2826709,321.4733333,8146.74356,6389.474019,10.82181408,21.72374763
2017-10-18T00:00:00Z,315.19,318,284.68,309.7,309.551,341.305815,277.796185,304.1266667,12908.0454,6704.830828,12.9420715,22.82815262
2017-10-19T00:00:00Z,309.7,315,300,308.66,310.373,341.1260747,279.6199253,307.8866667,8678.74739,6584.308247,14.49032296,22.08261427
2017-10-20T00:00:00Z,308.66,311.18,302,304.51,310.3805,341.1277779,279.6332221,305.8966667,8739.31764,6820.243731,15.44602368,20.85379387
2017-10-21T00:00:00Z,304.51,305.34,290,298.94,310.13,341.1630604,279.0969396,298.0933333,8591.63121,6996.822413,15.7656913,20.32867064
2017-10-22T00:00:00Z,298.94,306.99,290,293.79,309.9945,341.2870093,278.7019907,296.9266667,7173.06893,7169.933986,15.44241207,20.01070201
2017-10-23T00:00:00Z,293.79,294.6,272.2,281.09,309.425,342.3440872,276.5059128,282.63,9658.78404,7375.530337,14.25611116,20.2382542
2017-10-24T00:00:00Z,282.27,310,275.5,297.38,309.6945,342.1228262,277.2661738,294.2933333,14066.67924,7878.119903,12.93519443,21.5965157
2017-10-25T00:00:00Z,297.38,300,281,294.49,309.6785,342.1364884,277.2205116,291.83,9703.09261,8192.655025,11.452704,21.34922849
2017-10-26T00:00:00Z,294.49,299.76,291.03,294.71,308.874,341.9722141,275.7757859,295.1666667,7813.02717,8406.255204,9.884883067,20.14739721
2017-10-27T00:00:00Z,294.71,298.1,292.03,296.33,308.14,341.6645379,274.6154621,295.4866667,6272.14802,8611.573067,8.33263224,18.80669271
2017-10-28T00:00:00Z,296.33,297,290.1,291.87,307.18,341.4062157,272.9537843,292.99,5848.86589,8755.969763,6.693268736,17.67272198
2017-10-29T00:00:00Z,291.87,309.4,291.86,305,307.5705,341.5088903,273.6321097,302.0866667,9019.13315,8962.657489,5.405497942,17.66008179
2017-10-30T00:00:00Z,305,316,302.1,307.25,308.001,341.6928803,274.3091197,308.45,8946.12026,9072.499768,4.469767109,17.30197876
2017-10-31T00:00:00Z,307.25,309.99,304.01,304.9,308.0455,341.7185233,274.3724767,306.3,7640.41182,9268.286044,3.748428336,16.22369507
2017-11-01T00:00:00Z,304.89,305.9,286.34,287.01,307.1965,342.0705352,272.3224648,293.0833333,9843.1666,9369.056576,2.678684426,16.5414384
2017-11-02T00:00:00Z,287.3,293,274.73,283.12,304.4545,337.8128731,271.0961269,283.6166667,13423.8572,9143.981143,1.257965616,16.70606331
2017-11-03T00:00:00Z,283.12,307,282,304.08,302.5585,331.1329104,273.9840896,297.6933333,8194.03465,9167.084641,0.229373809,17.49596204
2017-11-04T00:00:00Z,304.09,304.99,292.11,298.04,300.5625,324.0995133,277.0254867,298.38,7828.41744,9057.938159,-0.65609498,17.05634661
2017-11-05T00:00:00Z,298.04,302.14,293.13,295.53,298.5795,316.0011618,281.1578382,296.9333333,6638.42119,8956.68567,-1.485488606,16.29002789
2017-11-06T00:00:00Z,295.53,305.58,290.11,297.97,297.7185,313.385075,282.051925,297.8866667,7515.50103,8925.123544,-2.179903633,16.21192999
2017-11-07T00:00:00Z,297.97,303.52,287,291.78,296.8225,311.6741731,281.9708269,294.1,9418.57881,8750.650214,-2.936113061,16.24126999
2017-11-08T00:00:00Z,291.78,320,290.02,303.02,296.5405,310.6794752,282.4015248,304.3466667,15961.85772,9114.805731,-3.389762956,17.54972047
2017-11-09T00:00:00Z,303.6,329,299.5,317.87,297.2085,313.8341624,280.5828376,315.4566667,11151.29946,9235.404822,-3.191546956,18.68784233
2017-11-10T00:00:00Z,318.5,322.65,285.82,293.5,296.9365,313.6178576,280.2551424,300.6566667,15597.16557,9585.68154,-3.201870726,20.41566687
2017-11-11T00:00:00Z,293.5,318,291.91,310.02,297.748,315.2947679,280.2012321,306.6433333,10850.16279,9769.536233,-2.890586584,20.95607955
2017-11-12T00:00:00Z,310.87,316.99,281.01,305.24,298.9555,315.0111862,282.8998138,301.08,21123.15319,10342.75469,-2.480771661,22.38692912
2017-11-13T00:00:00Z,304,318.88,303.7,312.99,299.736,316.8895809,282.5824191,311.8566667,15551.67434,10417.00445,-1.789692988,21.70055491
2017-11-14T00:00:00Z,312.99,337.54,312.94,335.61,301.792,324.7968139,278.7871861,328.6966667,17709.2227,10817.31095,-0.303592885,21.97669254
2017-11-15T00:00:00Z,335.6,339,324,331.33,303.623,329.705158,277.540842,331.4433333,15597.16131,11206.51766,1.622844978,21.31224563
2017-11-16T00:00:00Z,331.33,334.75,321.41,331.49,305.381,333.8870182,276.8749818,329.2166667,14145.71696,11600.1961,3.829088202,20.55298414
2017-11-17T00:00:00Z,331.49,334.6,323.84,331.23,307.349,337.2526071,277.4453929,329.89,18042.02544,12209.85408,6.176256516,19.62031899
