Date,Adj Close
2016-12-31,963.7429809570312
2017-01-01,998.3250122070312
2017-01-02,1021.75
2017-01-03,1043.8399658203125
2017-01-04,1154.72998046875
2017-01-05,1013.3800048828125
2017-01-06,902.2009887695312
2017-01-07,908.5850219726562
2017-01-08,911.198974609375
2017-01-09,902.8280029296875
2017-01-10,907.6790161132812
2017-01-11,777.7570190429688
2017-01-12,804.833984375
2017-01-13,823.9840087890625
2017-01-14,818.4119873046875
2017-01-15,821.7979736328125
2017-01-16,831.5339965820312
2017-01-17,907.93798828125
2017-01-18,886.6179809570312
2017-01-19,899.072998046875
2017-01-20,895.0260009765625
2017-01-21,921.7890014648438
2017-01-22,924.6729736328125
2017-01-23,921.0120239257812
2017-01-24,892.68701171875
2017-01-25,901.5419921875
2017-01-26,917.5859985351562
2017-01-27,919.75
2017-01-28,921.5900268554688
2017-01-29,919.4959716796875
2017-01-30,920.3820190429688
2017-01-31,970.4030151367188
2017-02-01,989.0230102539062
2017-02-02,1011.7999877929688
2017-02-03,1029.9100341796875
2017-02-04,1042.9000244140625
2017-02-05,1027.3399658203125
2017-02-06,1038.1500244140625
2017-02-07,1061.3499755859375
2017-02-08,1063.0699462890625
2017-02-09,994.3829956054688
2017-02-10,988.6740112304688
2017-02-11,1004.4500122070312
2017-02-12,999.1810302734375
2017-02-13,990.6420288085938
2017-02-14,1004.5499877929688
2017-02-15,1007.47998046875
2017-02-16,1027.43994140625
2017-02-17,1046.2099609375
2017-02-18,1054.4200439453125
2017-02-19,1047.8699951171875
2017-02-20,1079.97998046875
2017-02-21,1115.300048828125
2017-02-22,1117.43994140625
2017-02-23,1166.719970703125
2017-02-24,1173.6800537109375
2017-02-25,1143.8399658203125
2017-02-26,1165.199951171875
2017-02-27,1179.969970703125
2017-02-28,1179.969970703125
2017-03-01,1222.5
2017-03-02,1251.010009765625
2017-03-03,1274.989990234375
2017-03-04,1255.1500244140625
2017-03-05,1267.1199951171875
2017-03-06,1272.8299560546875
2017-03-07,1223.5400390625
2017-03-08,1150.0
